symboling,make,fuel-type,aspiration,body-style,drive-wheels,engine-location,wheel-base,length,width,h8,engine-type,num-of-cylinders,engine-size,fuel-system,compression-ratio,city-mpg,highway-mpg,price
2,mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,4,92,2bbl,9.4,31,38,6669
1,mitsubishi,gas,turbo,hatchback,fwd,front,93,157.3,63.8,50.8,ohc,4,98,spdi,7.6,24,30,7689
3,mitsubishi,gas,turbo,hatchback,fwd,front,96.3,173,65.4,49.4,ohc,4,110,spdi,7.5,23,30,9959
3,mitsubishi,gas,std,hatchback,fwd,front,96.3,173,65.4,49.4,ohc,4,122,2bbl,8.5,25,32,8499
3,mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,4,156,spdi,7,19,24,12629
3,mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,4,156,spdi,7,19,24,14869
3,mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,4,156,spdi,7,19,24,14489
1,mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,4,122,2bbl,8.5,25,32,6989
1,mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,4,122,2bbl,8.5,25,32,8189
1,mitsubishi,gas,turbo,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,4,110,spdi,7.5,23,30,9279
-1,mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,4,110,spdi,7.5,23,30,9279
1,nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,4,97,2bbl,9.4,31,37,5499
1,nissan,diesel,std,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,4,103,idi,21.9,45,50,7099
1,nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,4,97,2bbl,9.4,31,37,6649
1,nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,4,97,2bbl,9.4,31,37,6849
1,nissan,gas,std,wagon,fwd,front,94.5,170.2,63.8,53.5,ohc,4,97,2bbl,9.4,31,37,7349
1,nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,4,97,2bbl,9.4,31,37,7299
1,nissan,gas,std,hatchback,fwd,front,94.5,165.6,63.8,53.3,ohc,4,97,2bbl,9.4,31,37,7799
1,nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,4,97,2bbl,9.4,31,37,7499
1,nissan,gas,std,wagon,fwd,front,94.5,170.2,63.8,53.5,ohc,4,97,2bbl,9.4,31,37,7999
2,nissan,gas,std,hardtop,fwd,front,95.1,162.4,63.8,53.3,ohc,4,97,2bbl,9.4,31,37,8249
0,nissan,gas,std,hatchback,fwd,front,97.2,173.4,65.2,54.7,ohc,4,120,2bbl,8.5,27,34,8949
0,nissan,gas,std,sedan,fwd,front,97.2,173.4,65.2,54.7,ohc,4,120,2bbl,8.5,27,34,9549
0,nissan,gas,std,sedan,fwd,front,100.4,181.7,66.5,55.1,ohcv,6,181,mpfi,9,17,22,13499
0,nissan,gas,std,wagon,fwd,front,100.4,184.6,66.5,56.1,ohcv,6,181,mpfi,9,17,22,14399
0,nissan,gas,std,sedan,fwd,front,100.4,184.6,66.5,55.1,ohcv,6,181,mpfi,9,19,25,13499
3,nissan,gas,std,hatchback,rwd,front,91.3,170.7,67.9,49.7,ohcv,6,181,mpfi,9,19,25,17199
3,nissan,gas,turbo,hatchback,rwd,front,91.3,170.7,67.9,49.7,ohcv,6,181,mpfi,7.8,17,23,19699
1,nissan,gas,std,hatchback,rwd,front,99.2,178.5,67.9,49.7,ohcv,6,181,mpfi,9,19,25,18399
0,peugot,gas,std,sedan,rwd,front,107.9,186.7,68.4,56.7,l,4,120,mpfi,8.4,19,24,11900
0,peugot,diesel,turbo,sedan,rwd,front,107.9,186.7,68.4,56.7,l,4,152,idi,21,28,33,13200
0,peugot,gas,std,wagon,rwd,front,114.2,198.9,68.4,58.7,l,4,120,mpfi,8.4,19,24,12440
0,peugot,diesel,turbo,wagon,rwd,front,114.2,198.9,68.4,58.7,l,4,152,idi,21,25,25,13860
0,peugot,gas,std,sedan,rwd,front,107.9,186.7,68.4,56.7,l,4,120,mpfi,8.4,19,24,15580
0,peugot,diesel,turbo,sedan,rwd,front,107.9,186.7,68.4,56.7,l,4,152,idi,21,28,33,16900
0,peugot,gas,std,wagon,rwd,front,114.2,198.9,68.4,56.7,l,4,120,mpfi,8.4,19,24,16695
0,peugot,diesel,turbo,wagon,rwd,front,114.2,198.9,68.4,58.7,l,4,152,idi,21,25,25,17075
0,peugot,gas,std,sedan,rwd,front,107.9,186.7,68.4,56.7,l,4,120,mpfi,8.4,19,24,16630
0,peugot,diesel,turbo,sedan,rwd,front,107.9,186.7,68.4,56.7,l,4,152,idi,21,28,33,17950
0,peugot,gas,turbo,sedan,rwd,front,108,186.7,68.3,56,l,4,134,mpfi,7,18,24,18150
1,plymouth,gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,4,90,2bbl,9.4,37,41,5572
1,plymouth,gas,turbo,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,4,98,spdi,7.6,24,30,7957
1,plymouth,gas,std,hatchback,fwd,front,93.7,157.3,63.8,50.6,ohc,4,90,2bbl,9.4,31,38,6229
1,plymouth,gas,std,sedan,fwd,front,93.7,167.3,63.8,50.8,ohc,4,90,2bbl,9.4,31,38,6692
1,plymouth,gas,std,sedan,fwd,front,93.7,167.3,63.8,50.8,ohc,4,98,2bbl,9.4,31,38,7609
-1,plymouth,gas,std,wagon,fwd,front,103.3,174.6,64.6,59.8,ohc,4,122,2bbl,8.5,24,30,8921
3,plymouth,gas,turbo,hatchback,rwd,front,95.9,173.2,66.3,50.2,ohc,4,156,spdi,7,19,24,12764
3,porsche,gas,std,hatchback,rwd,front,94.5,168.9,68.3,50.2,ohc,4,151,mpfi,9.5,19,27,22018
3,porsche,gas,std,hardtop,rwd,rear,89.5,168.9,65,51.6,ohcf,6,194,mpfi,9.5,17,25,32528
3,porsche,gas,std,hardtop,rwd,rear,89.5,168.9,65,51.6,ohcf,6,194,mpfi,9.5,17,25,34028
3,porsche,gas,std,convertible,rwd,rear,89.5,168.9,65,51.6,ohcf,6,194,mpfi,9.5,17,25,37028
0,renault,gas,std,wagon,fwd,front,96.1,181.5,66.5,55.2,ohc,4,132,mpfi,8.7,23,31,9295
2,renault,gas,std,hatchback,fwd,front,96.1,176.8,66.6,50.5,ohc,4,132,mpfi,8.7,23,31,9895
3,saab,gas,std,hatchback,fwd,front,99.1,186.6,66.5,56.1,ohc,4,121,mpfi,9.31,21,28,11850
2,saab,gas,std,sedan,fwd,front,99.1,186.6,66.5,56.1,ohc,4,121,mpfi,9.3,21,28,12170
3,saab,gas,std,hatchback,fwd,front,99.1,186.6,66.5,56.1,ohc,4,121,mpfi,9.3,21,28,15040
2,saab,gas,std,sedan,fwd,front,99.1,186.6,66.5,56.1,ohc,4,121,mpfi,9.3,21,28,15510
3,saab,gas,turbo,hatchback,fwd,front,99.1,186.6,66.5,56.1,dohc,4,121,mpfi,9,19,26,18150
2,saab,gas,turbo,sedan,fwd,front,99.1,186.6,66.5,56.1,dohc,4,121,mpfi,9,19,26,18620
2,subaru,gas,std,hatchback,fwd,front,93.7,156.9,63.4,53.7,ohcf,4,97,2bbl,9,31,36,5118
2,subaru,gas,std,hatchback,fwd,front,93.7,157.9,63.6,53.7,ohcf,4,108,2bbl,8.7,26,31,7053
2,subaru,gas,std,hatchback,4wd,front,93.3,157.3,63.8,55.7,ohcf,4,108,2bbl,8.7,26,31,7603
0,subaru,gas,std,sedan,fwd,front,97.2,172,65.4,52.5,ohcf,4,108,2bbl,9.5,32,37,7126
0,subaru,gas,std,sedan,fwd,front,97.2,172,65.4,52.5,ohcf,4,108,2bbl,9.5,28,33,7775
0,subaru,gas,std,sedan,fwd,front,97.2,172,65.4,52.5,ohcf,4,108,mpfi,9,26,32,9960
0,subaru,gas,std,sedan,4wd,front,97,172,65.4,54.3,ohcf,4,108,2bbl,9,24,25,9233
0,subaru,gas,turbo,sedan,4wd,front,97,172,65.4,54.3,ohcf,4,108,mpfi,7.7,24,29,11259
0,subaru,gas,std,wagon,fwd,front,97,173.5,65.4,53,ohcf,4,108,2bbl,9,28,32,7463
0,subaru,gas,std,wagon,fwd,front,97,173.5,65.4,53,ohcf,4,108,mpfi,9,25,31,10198
0,subaru,gas,std,wagon,4wd,front,96.9,173.6,65.4,54.9,ohcf,4,108,2bbl,9,23,29,8013
0,subaru,gas,turbo,wagon,4wd,front,96.9,173.6,65.4,54.9,ohcf,4,108,mpfi,7.7,23,23,11694
1,toyota,gas,std,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,4,92,2bbl,9,35,39,5348
1,toyota,gas,std,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,4,92,2bbl,9,31,38,6338
1,toyota,gas,std,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,4,92,2bbl,9,31,38,6488
0,toyota,gas,std,wagon,fwd,front,95.7,169.7,63.6,59.1,ohc,4,92,2bbl,9,31,37,6918
0,toyota,gas,std,wagon,4wd,front,95.7,169.7,63.6,59.1,ohc,4,92,2bbl,9,27,32,7898
0,toyota,gas,std,wagon,4wd,front,95.7,169.7,63.6,59.1,ohc,4,92,2bbl,9,27,32,8778
0,toyota,gas,std,sedan,fwd,front,95.7,166.3,64.4,53,ohc,4,98,2bbl,9,30,37,6938
0,toyota,gas,std,hatchback,fwd,front,95.7,166.3,64.4,52.8,ohc,4,98,2bbl,9,30,37,7198
0,toyota,diesel,std,sedan,fwd,front,95.7,166.3,64.4,53,ohc,4,110,idi,22.5,34,36,7898
0,toyota,diesel,std,hatchback,fwd,front,95.7,166.3,64.4,52.8,ohc,4,110,idi,22.5,38,47,7788
0,toyota,gas,std,sedan,fwd,front,95.7,166.3,64.4,53,ohc,4,98,2bbl,9,38,47,7738
0,toyota,gas,std,hatchback,fwd,front,95.7,166.3,64.4,52.8,ohc,4,98,2bbl,9,28,34,8358
0,toyota,gas,std,sedan,fwd,front,95.7,166.3,64.4,52.8,ohc,4,98,2bbl,9,28,34,9258
1,toyota,gas,std,sedan,rwd,front,94.5,168.7,64,52.6,ohc,4,98,2bbl,9,29,34,8058
1,toyota,gas,std,hatchback,rwd,front,94.5,168.7,64,52.6,ohc,4,98,2bbl,9,29,34,8238
1,toyota,gas,std,sedan,rwd,front,94.5,168.7,64,52.6,dohc,4,98,mpfi,9.4,26,29,9298
1,toyota,gas,std,hatchback,rwd,front,94.5,168.7,64,52.6,dohc,4,98,mpfi,9.4,26,29,9538
2,toyota,gas,std,hardtop,rwd,front,98.4,176.2,65.6,52,ohc,4,146,mpfi,9.3,24,30,8449
2,toyota,gas,std,hardtop,rwd,front,98.4,176.2,65.6,52,ohc,4,146,mpfi,9.3,24,30,9639
2,toyota,gas,std,hatchback,rwd,front,98.4,176.2,65.6,52,ohc,4,146,mpfi,9.3,24,30,9989
2,toyota,gas,std,hardtop,rwd,front,98.4,176.2,65.6,52,ohc,4,146,mpfi,9.3,24,30,11199
2,toyota,gas,std,hatchback,rwd,front,98.4,176.2,65.6,52,ohc,4,146,mpfi,9.3,24,30,11549
2,toyota,gas,std,convertible,rwd,front,98.4,176.2,65.6,53,ohc,4,146,mpfi,9.3,24,30,17669
-1,toyota,gas,std,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,4,122,mpfi,8.7,29,34,8948
-1,toyota,diesel,turbo,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,4,110,idi,22.5,30,33,10698
-1,toyota,gas,std,hatchback,fwd,front,102.4,175.6,66.5,53.9,ohc,4,122,mpfi,8.7,27,32,9988
-1,toyota,gas,std,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,4,122,mpfi,8.7,27,32,10898
-1,toyota,gas,std,hatchback,fwd,front,102.4,175.6,66.5,53.9,ohc,4,122,mpfi,8.7,27,32,11248
3,toyota,gas,std,hatchback,rwd,front,102.9,183.5,67.7,52,dohc,6,171,mpfi,9.3,20,24,16558
3,toyota,gas,std,hatchback,rwd,front,102.9,183.5,67.7,52,dohc,6,171,mpfi,9.3,19,24,15998
-1,toyota,gas,std,sedan,rwd,front,104.5,187.8,66.5,54.1,dohc,6,171,mpfi,9.2,20,24,15690
-1,toyota,gas,std,wagon,rwd,front,104.5,187.8,66.5,54.1,dohc,6,161,mpfi,9.2,19,24,15750
2,volkswagen,diesel,std,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,97,idi,23,37,46,7775
2,volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,109,mpfi,9,27,34,7975
2,volkswagen,diesel,std,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,97,idi,23,37,46,7995
2,volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,109,mpfi,9,27,34,8195
2,volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,109,mpfi,9,27,34,8495
2,volkswagen,diesel,turbo,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,97,idi,23,37,42,9495
2,volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,55.7,ohc,4,109,mpfi,10,26,32,9995
3,volkswagen,gas,std,convertible,fwd,front,94.5,159.3,64.2,55.6,ohc,4,109,mpfi,8.5,24,29,11595
3,volkswagen,gas,std,hatchback,fwd,front,94.5,165.7,64,51.4,ohc,4,109,mpfi,8.5,24,29,9980
0,volkswagen,gas,std,sedan,fwd,front,100.4,180.2,66.9,55.1,ohc,5,136,mpfi,8.5,19,24,13295
0,volkswagen,diesel,turbo,sedan,fwd,front,100.4,180.2,66.9,55.1,ohc,4,97,idi,23,33,38,13845
0,volkswagen,gas,std,wagon,fwd,front,100.4,183.1,66.9,55.1,ohc,4,109,mpfi,9,25,31,12290
-2,volvo,gas,std,sedan,rwd,front,104.3,188.8,67.2,56.2,ohc,4,141,mpfi,9.5,23,28,12940
-1,volvo,gas,std,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,4,141,mpfi,9.5,23,28,13415
-2,volvo,gas,std,sedan,rwd,front,104.3,188.8,67.2,56.2,ohc,4,141,mpfi,9.5,24,28,15985
-1,volvo,gas,std,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,4,141,mpfi,9.5,24,28,16515
-2,volvo,gas,turbo,sedan,rwd,front,104.3,188.8,67.2,56.2,ohc,4,130,mpfi,7.5,17,22,18420
-1,volvo,gas,turbo,wagon,rwd,front,104.3,188.8,67.2,57.5,ohc,4,130,mpfi,7.5,17,22,18950
-1,volvo,gas,std,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,4,141,mpfi,9.5,23,28,16845
-1,volvo,gas,turbo,sedan,rwd,front,109.1,188.8,68.8,55.5,ohc,4,141,mpfi,8.7,19,25,19045
-1,volvo,gas,std,sedan,rwd,front,109.1,188.8,68.9,55.5,ohcv,6,173,mpfi,8.8,18,23,21485
-1,volvo,diesel,turbo,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,6,145,idi,23,26,27,22470
-1,volvo,gas,turbo,sedan,rwd,front,109.1,188.8,68.9,55.5,ohc,4,141,mpfi,9.5,19,25,22625
